"","block_number","street1","street2"
"237","2100","SHATTUCK AVE",NA
"238","1000","GILMAN ST",NA
"239","3000","ELLIS ST",NA
"240","2600","HASTE ST",NA
"241","2400","DWIGHT WAY",NA
"242",NA,"CHANNING WAY","ELLSWORTH ST"
"243","1900","OXFORD ST",NA
"244","1500","STUART ST",NA
"245","1700","HOPKINS ST",NA
"246","2100","SHATTUCK AVE",NA
"247",NA,"SHATTUCK AVENUE","ASHBY AVE"
"248","1000","KEITH AVE",NA
"249","1100","HEARST AVE",NA
"250","1800","UNIVERSITY AVE",NA
"251","100","SEAWALL DR",NA
"252","2300","WARRING ST",NA
"253","800","HEARST AVE",NA
"254","1900","BERKELEY WAY",NA
"255","1200","SHATTUCK AVE",NA
"256",NA,"ADDISON STREET","JEFFERSON"
"257","2500","WOOLSEY ST",NA
"258","2900","SAN PABLO AVE",NA
"259","2000","OREGON ST",NA
"260","2200","SIXTH ST",NA
"261","1400","SAN PABLO AVE",NA
"262","1700","UNIVERSITY AVE",NA
"263","2322","FIFTH ST",NA
"264",NA,"COLLEGE AVENUE","PARKER ST"
"265","2400","HILLSIDE AVE",NA
"266",NA,"UNIVERSITY AVENUE","W FRONTAGE RD"
"267","2300","PROSPECT ST",NA
"268","3000","ACTON ST",NA
"269","2300","EIGHTH ST",NA
"270",NA,"EIGHTH STREET","HARRISON ST"
"271","1200","NEILSON ST",NA
"272","2000","KITTREDGE ST",NA
"273","1600","JOSEPHINE ST",NA
"274","2500","CHANNING WAY",NA
"275","1600","BERKELEY WAY",NA
"276",NA,"HILLEGASS AVENUE","DERBY ST"
"277","2000","FOURTH ST",NA
"278","2700","DOHR ST",NA
"279","2500","DWIGHT WAY",NA
"280","800","UNIVERSITY AVE",NA
"281","2200","FIFTH ST",NA
"282","1800","CALIFORNIA ST",NA
"283","2100","OXFORD ST",NA
"284",NA,"RUSSELL STREET","MABEL ST"
"285","2400","SHATTUCK AVE",NA
"286","1700","SPRUCE ST",NA
"287","2400","DOWLING PL",NA
"288","1900","CENTER ST",NA
"289","2500","TELEGRAPH AVE",NA
"290","2400","WARRING ST",NA
"291","2000","EMERSON ST",NA
"292","2600","TELEGRAPH AVE",NA
"293","1400","HARMON ST",NA
"294",NA,"MILVIA STREET","ALLSTON WAY"
"295","500","SPRUCE ST",NA
"296",NA,"OXFORD STREET","CENTER ST"
"297",NA,"ALLSTON WAY","FOURTH ST"
"298","1700","ROSE ST",NA
"299","1000","UNIVERSITY AVE",NA
"300","1900","CHESTNUT ST",NA
"301","2100","SAN PABLO AVE",NA
"302","2600","DURANT AVE",NA
"303","400","GILMAN ST",NA
"304","7","STRATHMOOR DR",NA
"305","2300","MCGEE AVE",NA
"306",NA,"SIXTH STREET","HARRISON ST"
"307","2000","STUART ST",NA
"308","1000","ASHBY AVE",NA
"309","2200","SHATTUCK AVE",NA
"310",NA,"HASTE STREET","TELEGRAPH AVE"
"311","2700","WEBSTER ST",NA
"312",NA,"MCGEE AVENUE","DERBY ST"
"313","2900","CALIFORNIA ST",NA
"314","100","HILLCREST RD",NA
"315","2300","CHANNING WAY",NA
"316","2200","SHATTUCK AVE",NA
"317","1500","WARD ST",NA
"318","2500","RIDGE RD",NA
"319","1800","CURTIS ST",NA
"320","2600","DURANT AVE",NA
"321","2700","STUART ST",NA
"322","2600","COLLEGE AVE",NA
"323","700","ESSEX WAY",NA
"324","1700","BLAKE ST",NA
"325","2900","NINTH ST",NA
"326","1800","WALNUT ST",NA
"327","2900","DOMINGO AVE",NA
"328","2200","HEARST AVE",NA
"329","1500","SHATTUCK AVE",NA
"330","2400","DURANT AVE",NA
"331","2500","DURANT AVE",NA
"332","2400","RUSSELL ST",NA
"333","2300","BONAR ST",NA
"334","2300","WARRING ST",NA
"335","2200","DURANT AVE",NA
"336",NA,"PARKER STREET","COLLEGE AVE"
"337","2700","RIDGE RD",NA
"338","3000","TELEGRAPH AVE",NA
"339","1400","ADDISON ST",NA
"340","2500","BENVENUE AVE",NA
"341","1900","ASHBY AVE",NA
"342",NA,"BOLIVAR DRIVE","BAY ST"
"343","600","CEDAR ST",NA
"344",NA,"BANCROFT WAY","SAN PABLO AVE"
"345","3000","SAN PABLO AVE",NA
"346","1700","ALCATRAZ AVE",NA
"347","1300","UNIVERSITY AVE",NA
"348","1800","SCENIC AVE",NA
"349","2700","ACTON ST",NA
"350","100","SEAWALL DR",NA
"351","3200","ADELINE ST",NA
"352",NA,"TELEGRAPH AVENUE","CHANNING WAY"
"353","2100","CARLETON ST",NA
"354","2500","DURANT AVE",NA
"355",NA,"UNIVERSITY AVENUE","SHATTUCK AVE"
"356","2800","MILVIA ST",NA
"357",NA,"TREMONT STREET","PRINCE ST"
"358","1100","COLUSA AVE",NA
"359","1900","STUART ST",NA
"360","2800","MILVIA ST",NA
"361","1900","UNIVERSITY AVE",NA
"362","2400","ASHBY AVE",NA
"363","1000","FOLGER AVE",NA
"364","2100","KITTREDGE ST",NA
"365",NA,"CHANNING WAY","TENTH ST"
"366","2900","ELLIS ST",NA
"367","2000","DWIGHT WAY",NA
"368",NA,"EIGHTH STREET","CARLETON ST"
"369","2000","CENTER ST",NA
"370",NA,"TENTH STREET","ADDISON ST"
"371","1200","FIFTH ST",NA
"372","1600","KAINS AVE",NA
"373","1200","BANCROFT WAY",NA
"374","3000","DANA ST",NA
"375","2100","SHATTUCK AVE",NA
"376","1600","TACOMA AVE",NA
"377","2100","ADDISON ST",NA
"378","1300","TENTH ST",NA
"379","900","SAN BENITO RD",NA
