"","block_number","street1","street2"
"717","1600","EDITH ST",NA
"718","600","HARRISON ST",NA
"719","900","VIRGINIA ST",NA
"720","100","HILLCREST RD",NA
"721","1900","LOS ANGELES AVE",NA
"722","2300","TELEGRAPH AVE",NA
"723","2300","FOURTH ST",NA
"724","1700","ROSE ST",NA
"725","1900","HEARST AVE",NA
"726","2300","FOURTH ST",NA
"727","1900","BERKELEY WAY",NA
"728","1000","BANCROFT WAY",NA
"729","1500","ALCATRAZ AVE",NA
"730","2000","KITTREDGE ST",NA
"731","2100","SHATTUCK AVE",NA
"732","1800","EUCLID AVE",NA
"733",NA,"EIGHTH STREET","HEARST AVE"
"734","2600","ASHBY AVE",NA
"735","37.8604074730001000,","-122.2991894540000000",NA
"736","2800","HILGARD AVE",NA
"737",NA,"FIFTH STREET","UNIVERSITY AVE"
"738","2000","ALLSTON WAY",NA
"739","1700","WALNUT ST",NA
"740","2000","CHANNING WAY",NA
"741","2500","BANCROFT WAY",NA
"742","200","UNIVERSITY AVE",NA
"743",NA,"ALLSTON WAY","SAN PABLO AVE"
"744","1400","EUCLID AVE",NA
"745","900","MURRAY ST",NA
"746","1900","BLAKE ST",NA
"747","2100","SHATTUCK AVE",NA
"748",NA,"SHATTUCK AVENUE","CHANNING WAY"
"749","1800","FRANCISCO ST",NA
"750","1800","FOURTH ST",NA
"751","1900","ALLSTON WAY",NA
"752","1700","UNIVERSITY AVE",NA
"753","1000","MILLER AVE",NA
"754","1200","OXFORD ST",NA
"755","2200","SHATTUCK AVE",NA
"756","600","SPRUCE ST",NA
"757",NA,"SHATTUCK AVENUE","HASTE ST"
"758","1900","HENRY ST",NA
"759","1200","FIFTH ST",NA
"760","900","HILLDALE AVE",NA
"761","1200","NEILSON ST",NA
"762","2000","UNIVERSITY AVE",NA
"763","2502","TELEGRAPH AVE",NA
"764","2800","PARKER ST",NA
"765","2100","SHATTUCK AVE",NA
"766",NA,"CARLETON STREET","NINTH ST"
"767",NA,"SIXTH STREET","DELAWARE ST"
"768","2700","MILVIA ST",NA
"769","2400","ASHBY AVE",NA
"770","1600","ALCATRAZ AVE",NA
"771","711","HARRISON ST",NA
"772","2500","STUART ST",NA
"773","2300","BLAKE ST",NA
"774","1500","FAIRVIEW ST",NA
"775","600","HARRISON ST",NA
"776","1200","TALBOT AVE",NA
"777","2100","SHATTUCK AVE",NA
"778","2900","SAN PABLO AVE",NA
"779",NA,"CHANNING WAY","DANA ST"
"780","3000","TELEGRAPH AVE",NA
"781","809","HEINZ ST",NA
"782","2000","ALLSTON WAY",NA
"783","2500","CHANNING WAY",NA
"784","1700","HOPKINS ST",NA
"785","2300","DURANT AVE",NA
"786","400","GILMAN ST",NA
"787","2800","STANTON ST",NA
"788","1600","TACOMA AVE",NA
"789","2500","HILGARD AVE",NA
"790","1600","WOOLSEY ST",NA
"791","2400","ASHBY AVE",NA
"792","2000","BERKELEY WAY",NA
"793","1300","SIXTH ST",NA
"794","2300","ELLSWORTH ST",NA
"795","2800","PARK ST",NA
"796","2500","BANCROFT WAY",NA
"797","2200","SHATTUCK AVE",NA
"798","2000","PRINCE ST",NA
"799",NA,"DELAWARE STREET","FRANKLIN ST"
"800","2400","TELEGRAPH AVE",NA
"801","2300","SHATTUCK AVE",NA
"802","2000","DURANT AVE",NA
"803","1000","UNIVERSITY AVE",NA
"804","2700","SHATTUCK AVE",NA
"805",NA,"SHATTUCK AVENUE","CENTER ST"
"806","900","UNIVERSITY AVE",NA
"807","2700","CHANNING WAY",NA
"808","2100","SHATTUCK AVE",NA
"809","1900","ALLSTON WAY",NA
"810","2300","TELEGRAPH AVE",NA
"811","2700","COLLEGE AVE",NA
"812",NA,"TELEGRAPH AVENUE","OREGON ST"
"813","900","MURRAY ST",NA
"814","2600","TELEGRAPH AVE",NA
"815","1900","FOURTH ST",NA
"816","2500","DURANT AVE",NA
"817","2900","NINTH ST",NA
"818","600","SPRUCE ST",NA
"819","2900","TELEGRAPH AVE",NA
"820","1300","CAMPUS DR",NA
"821",NA,"CENTER STREET","MILVIA ST"
"822","1100","SHATTUCK AVE",NA
"823",NA,"MILVIA STREET","BANCROFT WAY"
"824","2600","TELEGRAPH AVE",NA
"825","2000","OREGON ST",NA
"826","2900","SACRAMENTO ST",NA
"827","2000","KITTREDGE ST",NA
"828","2400","FIFTH ST",NA
"829","1800","FOURTH ST",NA
"830","1900","STUART ST",NA
"831","1900","RUSSELL ST",NA
"832","2000","ALLSTON WAY",NA
"833","2200","SHATTUCK AVE",NA
"834",NA,"CENTER STREET","OXFORD ST"
"835",NA,"ROSE STREET","SHATTUCK AVE"
"836",NA,"BONAR STREET","ADDISON ST"
"837","1800","FOURTH ST",NA
"838","2400","DURANT AVE",NA
"839","900","HEINZ AVE",NA
"840","2300","COLLEGE AVE",NA
"841","900","PARKER ST",NA
"842","2600","VIRGINIA ST",NA
"843","1900","FAIRVIEW ST",NA
"844","1500","EDITH ST",NA
"845","2700","SHATTUCK AVE",NA
"846","800","UNIVERSITY AVE",NA
"847","1400","SPRUCE ST",NA
"848","2700","FULTON ST",NA
"849","1800","DELAWARE ST",NA
"850","2200","SHATTUCK AVE",NA
"851",NA,"SAN PABLO AVENUE","UNIVERSITY AVE"
"852","1900","MILVIA ST",NA
"853","2000","FIFTH ST",NA
"854","3072","ADELINE ST",NA
"855","2000","UNIVERSITY AVE",NA
"856","100","SEAWALL DR",NA
"857",NA,"ADELINE STREET","RUSSELL ST"
"858","1900","UNIVERSITY AVE",NA
"859","1700","HOPKINS ST",NA
"860","2300","MILVIA ST",NA
"861","2500","BANCROFT WAY",NA
"862","1100","OXFORD ST",NA
"863",NA,"WEBSTER STREET","DEAKIN ST"
"864","1800","ALCATRAZ AVE",NA
"865","1000","MARIPOSA AVE",NA
"866","1600","FAIRVIEW ST",NA
"867","2000","KITTREDGE ST",NA
"868","1600","UNIVERSITY AVE",NA
"869","2000","FOURTH ST",NA
"870","2600","ASHBY AVE",NA
"871","2900","STANTON ST",NA
"872","2600","DURANT AVE",NA
"873","600","CEDAR ST",NA
"874","2600","ELLSWORTH ST",NA
"875","1000","DELAWARE ST",NA
"876","2000","ASHBY AVE",NA
"877","2600","ELLSWORTH ST",NA
"878","1900","NAPA AVE",NA
"879",NA,"DURANT AVENUE","SHATTUCK AVE"
"880","400","GILMAN ST",NA
"881","1800","UNIVERSITY AVE",NA
"882","2000","ALLSTON WAY",NA
"883","1700","SIXTH ST",NA
"884","1200","DWIGHT WAY",NA
"885","2000","EIGHTH ST",NA
"886","3000","SHATTUCK AVE",NA
"887",NA,"SACRAMENTO STREET","DERBY ST"
"888",NA,"SHATTUCK AVENUE","CENTER ST"
"889","2400","BROWNING ST",NA
"890","1700","FOURTH ST",NA
"891",NA,"VIRGINIA STREET","OXFORD ST"
"892",NA,"SHATTUCK AVENUE","CENTER ST"
"893","1000","SPRUCE ST",NA
"894","1900","SEVENTH ST",NA
"895","2400","DANA ST",NA
"896",NA,"CHANNING WAY","TELEGRAPH AVE"
"897","100","SEAWALL DR",NA
"898","2000","SAN PABLO AVE",NA
"899","1700","CARLETON ST",NA
"900","2900","ADELINE ST",NA
"901","1000","UNIVERSITY AVE",NA
"902","2500","DURANT AVE",NA
"903","2000","EIGHTH ST",NA
"904","1300","RUSSELL ST",NA
"905","1600","ALCATRAZ AVE",NA
"906","1600","BLAKE ST",NA
"907","1800","WARD ST",NA
"908",NA,"ASHBY AVENUE","REGENT ST"
"909","1900","SECOND ST",NA
"910",NA,"COLUSA AVENUE","MADERA ST"
"911","1500","ALCATRAZ AVE",NA
"912","1800","FRANKLIN ST",NA
"913","2300","TELEGRAPH AVE",NA
"914","2000","CHANNING WAY",NA
"915","1000","HARRISON ST",NA
"916","1600","EDITH ST",NA
"917","2000","ROSE ST",NA
"918","800","HEARST AVE",NA
"919","2900","DERBY ST",NA
"920","1200","HASKELL ST",NA
"921","2100","SHATTUCK AVE",NA
"922","2614","MARTIN LUTHER KING JR WAY",NA
"923","3200","ELLIS ST",NA
"924",NA,"FOURTH STREET","UNIVERSITY AVE"
"925","2300","CEDAR ST",NA
"926","600","CEDAR ST",NA
"927","2200","HASTE ST",NA
"928","1400","SHATTUCK AVE",NA
"929","1400","HENRY ST",NA
"930","1500","DWIGHT WAY",NA
"931","1800","UNIVERSITY AVE",NA
"932","1800","ADDISON ST",NA
"933","2400","OREGON ST",NA
"934",NA,"ALLSTON WAY","MILVIA ST"
"935",NA,"VIRGINIA STREET","FOURTH ST"
"936","2700","DERBY ST",NA
"937","811","UNIVERSITY AVENUE OVERPASS",NA
"938","2900","BENVENUE AVE",NA
"939","2300","TELEGRAPH AVE",NA
"940","2900","SACRAMENTO ST",NA
"941","600","CEDAR ST",NA
"942","700","VIRGINIA ST",NA
"943","2100","SHATTUCK AVE",NA
"944","2300","BLAKE ST",NA
"945","1700","HOPKINS ST",NA
"946","1200","BURNETT ST",NA
"947",NA,"COLLEGE AVENUE","RUSSELL ST"
"948","2300","TELEGRAPH AVE",NA
"949","2000","CENTER ST",NA
"950",NA,"ADELINE STREET","ESSEX ST"
"951","2600","DURANT AVE",NA
"952",NA,"CEDAR STREET","SECOND ST"
"953","2000","ADDISON ST",NA
"954","2300","BLAKE ST",NA
"955",NA,"CHANNING WAY","BONAR ST"
"956","700","KEELER AVE",NA
"957","2500","BANCROFT WAY",NA
"958","300","PANORAMIC WAY",NA
"959","2000","OREGON ST",NA
"960","1000","GRAYSON ST",NA
"961","1800","SHATTUCK AVE",NA
"962","600","WOODMONT AVE",NA
"963","100","POPLAR ST",NA
"964","2700","TELEGRAPH AVE",NA
"965","1900","UNIVERSITY AVE",NA
"966","3000","KING ST",NA
"967","1900","SHATTUCK AVE",NA
"968",NA,"SAN PABLO AVENUE","HEARST AVE"
"969","1800","ACTON ST",NA
"970",NA,"DANA STREET","BLAKE ST"
"971","1500","BERKELEY WAY",NA
"972","1800","HOPKINS ST",NA
"973",NA,"ADDISON STREET","SHATTUCK AVE"
"974","2100","SHATTUCK AVE",NA
"975","2000","CHANNING WAY",NA
"976","2400","STUART ST",NA
"977","900","HEINZ AVE",NA
"978","3100","ETON AVE",NA
"979","700","ALLSTON WAY",NA
"980","3000","SACRAMENTO ST",NA
"981","682","ALVARADO RD",NA
"982","2400","WARRING ST",NA
"983","1000","UNIVERSITY AVE",NA
"984","1500","ASHBY AVE",NA
"985","1300","WARD ST",NA
"986","1900","ALLSTON WAY",NA
"987",NA,"SHATTUCK AVENUE","ALLSTON WAY"
"988","1900","CENTER ST",NA
"989","400","GILMAN ST",NA
"990",NA,"WOOLSEY STREET","SACRAMENTO ST"
"991","2500","HILLEGASS AVE",NA
"992","1600","WARD ST",NA
"993","1500","EDITH ST",NA
"994","2400","DURANT AVE",NA
"995","2400","BOWDITCH ST",NA
"996","200","MARINA BLVD",NA
"997","2400","TELEGRAPH AVE",NA
"998","2600","HASTE ST",NA
"999","800","UNIVERSITY AVE",NA
"1000","2400","TELEGRAPH AVE",NA
"1001","2000","OREGON ST",NA
"1002","2300","TELEGRAPH AVE",NA
"1003","2100","SHATTUCK AVE",NA
"1004","2500","TELEGRAPH AVE",NA
"1005",NA,"SECOND STREET","PAGE ST"
"1006","1700","STUART ST",NA
"1007","2900","CLAREMONT AVE",NA
"1008","900","CRAGMONT AVE",NA
"1009","3000","SHATTUCK AVE",NA
"1010","1300","SAN PABLO AVE",NA
"1011","2100","SHATTUCK AVE",NA
"1012","1600","RUSSELL ST",NA
"1013",NA,"SHATTUCK AVENUE","WARD ST"
"1014","2800","TELEGRAPH AVE",NA
"1015","600","SPRUCE ST",NA
"1016","1100","ADDISON ST",NA
"1017","2800","TELEGRAPH AVE",NA
"1018","1300","SAN PABLO AVE",NA
"1019","2600","FULTON ST",NA
"1020","2100","SHATTUCK AVE",NA
"1021","1900","FAIRVIEW ST",NA
"1022","1100","HIGH CT",NA
"1023",NA,"SECOND STREET","HARRISON ST"
"1024","2400","WOOLSEY ST",NA
"1025","1800","TENTH ST",NA
"1026","1100","UNIVERSITY AVE",NA
"1027","2600","CHANNING WAY",NA
"1028","2000","EIGHTH ST",NA
"1029","2800","FULTON ST",NA
"1030","2000","DURANT AVE",NA
"1031","2100","ADDISON ST",NA
"1032","1300","TENTH ST",NA
"1033","2000","OREGON ST",NA
"1034",NA,"SAN PABLO AVENUE","PARDEE ST"
"1035","1400","HOLLY ST",NA
"1036","2200","SHATTUCK AVE",NA
"1037","1400","MILVIA ST",NA
"1038","2100","HASTE ST",NA
"1039","1300","DELAWARE ST",NA
"1040","1300","DWIGHT WAY",NA
"1041","1400","ACROFT CT",NA
"1042","2800","PARK ST",NA
"1043","1600","SAN PABLO AVE",NA
"1044","1900","OXFORD ST",NA
"1045","1000","UNIVERSITY AVE",NA
"1046","1800","FOURTH ST",NA
"1047","2100","UNIVERSITY AVE",NA
"1048","1300","ASHBY AVE",NA
"1049","1900","SHATTUCK AVE",NA
"1050","2100","OREGON ST",NA
"1051","1400","CATHERINE DR",NA
"1052","1900","PARKER ST",NA
"1053","1300","TENTH ST",NA
"1054","1600","WOOLSEY ST",NA
"1055","2300","COLLEGE AVE",NA
"1056","200","UNIVERSITY AVE",NA
"1057","2300","CHANNING WAY",NA
"1058","1500","SHATTUCK AVE",NA
"1059","2300","VIRGINIA ST",NA
"1060","1300","ASHBY AVE",NA
"1061",NA,"BANCROFT WAY","SHATTUCK AVE"
"1062",NA,"DWIGHT WAY","COLLEGE AVE"
"1063",NA,"SHATTUCK AVENUE","HEARST AVE"
"1064","1800","SCENIC AVE",NA
"1065","2100","SHATTUCK AVE",NA
"1066","1900","ALLSTON WAY",NA
"1067","200","MARINA BLVD",NA
"1068","1900","OXFORD ST",NA
"1069","2948","MARTIN LUTHER KING JR WAY",NA
"1070","2100","BANCROFT WAY",NA
"1071","2400","DURANT AVE",NA
"1072","2900","DOHR ST",NA
"1073","1800","SIXTY-SECOND ST",NA
"1074",NA,"DURANT AVENUE","TELEGRAPH AVE"
"1075",NA,"FAIRVIEW STREET","ADELINE ST"
"1076","2500","TELEGRAPH AVE",NA
"1077","2600","PARKER ST",NA
"1078","2300","SEVENTH ST",NA
"1079","2400","BYRON ST",NA
"1080",NA,"DWIGHT WAY","DANA ST"
"1081",NA,"DELAWARE STREET","SACRAMENTO ST"
"1082","2400","WARRING ST",NA
"1083","1700","CAPISTRANO AVE",NA
"1084","2900","CLAREMONT AVE",NA
"1085","2300","SHATTUCK AVE",NA
"1086","2500","WEBSTER ST",NA
"1087","1600","HOPKINS ST",NA
"1088",NA,"ACTON STREET","BURNETT ST"
"1089",NA,"BLAKE STREET","ELLSWORTH ST"
"1090","1700","VIRGINIA ST",NA
"1091",NA,"ACTON STREET","PARKER ST"
"1092","1400","UNIVERSITY AVE",NA
"1093","2500","MILVIA ST",NA
"1094","1100","AMADOR AVE",NA
"1095","2500","BANCROFT WAY",NA
"1096","1500","JOSEPHINE ST",NA
"1097","1300","PERALTA AVE",NA
"1098",NA,"SIXTH STREET","HARRISON ST"
"1099","2400","DURANT AVE",NA
"1100","2200","CHANNING WAY",NA
"1101","2000","BANCROFT WAY",NA
"1102","1900","CENTER ST",NA
"1103",NA,"",NA
"1104","1200","BLAKE ST",NA
"1105","1300","MCGEE AVE",NA
"1106","2300","PROSPECT ST",NA
"1107","2000","KITTREDGE ST",NA
"1108",NA,"SOLANO AVENUE","THE ALAMEDA"
"1109","1900","MILVIA ST",NA
"1110","800","HEINZ AVE",NA
"1111","2000","DWIGHT WAY",NA
"1112","1200","SAN PABLO AVE",NA
"1113","2100","CHANNING WAY",NA
"1114","1800","UNIVERSITY AVE",NA
"1115",NA,"ROSE STREET","SPRUCE ST"
"1116","1900","STUART ST",NA
"1117","2000","OREGON ST",NA
"1118","1800","FOURTH ST",NA
"1119","2300","PIEDMONT AVE",NA
"1120","2700","ASHBY AVE",NA
"1121","1500","WOOLSEY ST",NA
"1122","2700","MARIN AVE",NA
"1123",NA,"KITTREDGE STREET","SHATTUCK AVE"
"1124","2100","SEVENTH ST",NA
"1125","2500","REGENT ST",NA
"1126","1800","FOURTH ST",NA
"1127","1300","VIRGINIA ST",NA
"1128",NA,"SHATTUCK AVENUE","CENTER ST"
"1129","2177","SHATTUCK AVE",NA
"1130","1900","CENTER ST",NA
"1131",NA,"SHATTUCK AVENUE","KITTREDGE ST"
"1132","2100","SHATTUCK AVE",NA
"1133","1300","DELAWARE ST",NA
"1134","3200","IDAHO ST",NA
"1135","1300","PERALTA AVE",NA
"1136","2000","ALLSTON WAY",NA
"1137","1200","SANTA FE AVE",NA
"1138","2000","FOURTH ST",NA
"1139","2200","FULTON ST",NA
"1140","3000","WHEELER ST",NA
"1141","3200","ELLIS ST",NA
"1142","3300","CALIFORNIA ST",NA
"1143","2200","STUART ST",NA
"1144","1600","JAYNES ST",NA
"1145","1900","SHATTUCK AVE",NA
"1146","2100","OREGON ST",NA
"1147","1800","FOURTH ST",NA
"1148","800","HEARST AVE",NA
"1149","1400","HEARST AVE",NA
"1150",NA,"CHANNING WAY","ELLSWORTH ST"
"1151",NA,"COLLEGE AVENUE","CHANNING WAY"
"1152","710","HEARST AVE",NA
"1153","1600","ALCATRAZ AVE",NA
"1154","1300","ROSE ST",NA
"1155","2400","BANCROFT WAY",NA
"1156","2600","DURANT AVE",NA
"1157","2200","SHATTUCK AVE",NA
"1158","2100","SEVENTH ST",NA
"1159","1600","ALCATRAZ AVE",NA
"1160","2600","VIRGINIA ST",NA
"1161","2900","COLLEGE AVE",NA
"1162","2600","CALIFORNIA ST",NA
"1163","2900","NINTH ST",NA
"1164","900","HEINZ AVE",NA
"1165","2200","EUNICE ST",NA
"1166","800","HEINZ AVE",NA
"1167","2000","UNIVERSITY AVE",NA
"1168","2500","DERBY ST",NA
"1169","2700","DWIGHT WAY",NA
"1170","1000","HARRISON ST",NA
"1171","2200","JEFFERSON AVE",NA
"1172","2200","SHATTUCK AVE",NA
"1173","1057","EASTSHORE HIGHWAY",NA
"1174","2500","TELEGRAPH AVE",NA
"1175","600","VINCENTE AVE",NA
"1176","1800","SAN PABLO AVE",NA
"1177","2000","UNIVERSITY AVE",NA
"1178","1000","MURRAY ST",NA
"1179","2100","FOURTH ST",NA
"1180","400","GILMAN ST",NA
"1181","1900","DWIGHT WAY",NA
"1182","2600","SAN PABLO AVE",NA
"1183","100","VICENTE RD",NA
"1184","2900","COLLEGE AVE",NA
"1185","1800","TENTH ST",NA
"1186","2100","MILVIA ST",NA
"1187","1300","CORNELL AVE",NA
"1188","2800","COLLEGE AVE",NA
"1189","1700","WOOLSEY ST",NA
"1190",NA,"DELAWARE STREET","GRANT ST"
"1191","1900","SHATTUCK AVE",NA
"1192","100","SEAWALL DR",NA
"1193","2100","OXFORD ST",NA
"1194","2000","SAN PABLO AVE",NA
"1195","500","SANTA BARBARA RD",NA
"1196","1100","PARKER ST",NA
"1197","2400","DURANT AVE",NA
"1198","1500","HENRY ST",NA
"1199","2600","TELEGRAPH AVE",NA
"1200","1900","ASHBY AVE",NA
"1201","100","SEAWALL DR",NA
"1202","1600","SAN PABLO AVE",NA
"1203","1800","FOURTH ST",NA
"1204","2100","ACTON ST",NA
"1205","1600","FAIRVIEW ST",NA
"1206","2600","REGENT ST",NA
"1207","2000","SAN PABLO AVE",NA
"1208","2400","DURANT AVE",NA
"1209","1800","CHESTNUT ST",NA
"1210","2200","SHATTUCK AVE",NA
"1211","1500","SHATTUCK AVE",NA
"1212","1800","HEARST AVE",NA
"1213","1400","EIGHTH ST",NA
"1214","2300","FOURTH ST",NA
"1215","2000","OREGON ST",NA
"1216","2000","HASTE ST",NA
"1217","1800","HARMON ST",NA
"1218","2600","DURANT AVE",NA
"1219","1500","BERKELEY WAY",NA
"1220","1500","HARMON ST",NA
"1221","2000","FOURTH ST",NA
"1222","400","COLUSA AVE",NA
"1223","1300","SAN PABLO AVE",NA
"1224","2000","EMERSON ST",NA
"1225","2500","ELLSWORTH ST",NA
"1226","1200","SECOND ST",NA
"1227","1500","JULIA ST",NA
"1228","1700","SAN PABLO AVE",NA
"1229","2400","DURANT AVE",NA
"1230",NA,"DANA STREET","CHANNING WAY"
"1231","2000","OREGON ST",NA
"1232","2100","OXFORD ST",NA
"1233","1200","ADDISON ST",NA
"1234","2200","JEFFERSON AVE",NA
"1235","1600","UNIVERSITY AVE",NA
"1236","1400","UNIVERSITY AVE",NA
"1237","1300","SAN PABLO AVE",NA
"1238","400","GILMAN ST",NA
"1239","1400","BANCROFT WAY",NA
"1240","1400","STANNAGE AVE",NA
"1241","2700","PRINCE ST",NA
"1242","2000","FOURTH ST",NA
"1243","2700","EIGHTH ST",NA
"1244",NA,"KING STREET","JULIA ST"
"1245","2900","WHEELER ST",NA
"1246","2600","WEBSTER ST",NA
"1247","2000","VINE ST",NA
"1248","1400","SEVENTH ST",NA
"1249","2800","REGENT ST",NA
"1250",NA,"JONES STREET","EASTSHORE HWY"
"1251","1900","SHATTUCK AVE",NA
"1252","1800","FOURTH ST",NA
"1253","2900","TELEGRAPH AVE",NA
"1254","2300","SHATTUCK AVE",NA
"1255",NA,"MCGEE AVENUE","BANCROFT WAY"
"1256",NA,"MCGEE AVENUE","BERKELEY WAY"
"1257","2900","DEAKIN ST",NA
"1258","2300","TELEGRAPH AVE",NA
"1259",NA,"BAKER STREET","HARMON ST"
"1260",NA,"SACRAMENTO STREET","ADDISON ST"
"1261","1200","ADDISON ST",NA
"1262","2500","REGENT ST",NA
"1263","1400","SHATTUCK AVE",NA
"1264",NA,"HEARST AVENUE","MCGEE AVE"
"1265",NA,"UNIVERSITY AVENUE","SACRAMENTO ST"
"1266","2900","DWIGHT WAY",NA
"1267","1400","SHATTUCK AVE",NA
"1268","1900","HEARST AVE",NA
"1269","1900","SAN PABLO AVE",NA
"1270","2300","COLLEGE AVE",NA
"1271","800","STATION PL",NA
"1272","1200","CORNELL AVE",NA
"1273","2500","TELEGRAPH AVE",NA
"1274","1600","WALNUT ST",NA
"1275",NA,"ELLIS STREET","ASHBY AVE"
"1276","2300","FOURTH ST",NA
"1277","2300","WARD ST",NA
"1278","2700","WEBSTER ST",NA
"1279","2800","BANCROFT WAY",NA
"1280",NA,"SHATTUCK AVENUE","VIRGINIA ST"
"1281","2500","DURANT AVE",NA
"1282","2400","ASHBY AVE",NA
"1283","1600","CURTIS ST",NA
"1284","2900","LORINA ST",NA
"1285","2400","TELEGRAPH AVE",NA
"1286","1400","FIFTH ST",NA
"1287","2400","FIFTH ST",NA
"1288","1500","RUSSELL ST",NA
"1289","900","UNIVERSITY AVE",NA
"1290","1900","BERKELEY WAY",NA
"1291","2700","TENTH ST",NA
"1292",NA,"CAMELIA STREET","SIXTH ST"
"1293","1900","CENTER ST",NA
"1294","2700","BENVENUE AVE",NA
"1295","100","VICENTE RD",NA
"1296","2000","ALLSTON WAY",NA
"1297","1600","JOSEPHINE ST",NA
"1298",NA,"BANCROFT WAY","BOLIVAR DR"
"1299","200","MARINA BLVD",NA
"1300","1000","KEITH AVE",NA
"1301","2600","ASHBY AVE",NA
"1302","2900","WHEELER ST",NA
"1303","1800","FIFTH ST",NA
"1304","2800","GRANT ST",NA
"1305","2500","DWIGHT WAY",NA
"1306","1000","GILMAN ST",NA
"1307","2300","TELEGRAPH AVE",NA
"1308","2400","DANA ST",NA
"1309","800","REGAL RD",NA
"1310","1300","SIXTH ST",NA
"1311","2300","PARKER ST",NA
"1312","2400","PARKER ST",NA
"1313","800","BANCROFT WAY",NA
"1314","1700","SCENIC AVE",NA
"1315","900","HEINZ AVE",NA
"1316","2800","ADELINE ST",NA
"1317","1800","UNIVERSITY AVE",NA
"1318","700","GRAYSON ST",NA
"1319","100","SEAWALL DR",NA
"1320",NA,"ADELINE STREET","EMERSON ST"
"1321","1800","WOOLSEY ST",NA
"1322",NA,"NINTH STREET","HARRISON ST"
"1323","2500","BENVENUE AVE",NA
"1324","1300","BLAKE ST",NA
"1325","2000","FOURTH ST",NA
"1326","2400","BANCROFT WAY",NA
"1327","2300","FULTON ST",NA
"1328","1200","PERALTA AVE",NA
"1329","2000","DWIGHT WAY",NA
"1330",NA,"COLLEGE AVENUE","RUSSELL ST"
"1331","2000","KITTREDGE ST",NA
"1332","1500","SHATTUCK AVE",NA
"1333","2000","BERKELEY WAY",NA
"1334","2200","PIEDMONT AVE",NA
"1335","2450","DURANT AVE",NA
"1336","100","SEAWALL DR",NA
"1337","2400","COLLEGE AVE",NA
"1338","1200","COLUSA AVE",NA
"1339","2400","DURANT AVE",NA
"1340","1700","WALNUT ST",NA
"1341","2200","SHATTUCK AVE",NA
"1342","800","WOODMONT AVE",NA
"1343","2000","ALLSTON WAY",NA
"1344","1600","OREGON ST",NA
"1345",NA,"FULTON STREET","CHANNING WAY"
"1346","1100","PARK HILLS RD",NA
"1347","500","SPRUCE ST",NA
"1348","2400","PIEDMONT AVE",NA
"1349","1300","ARCH ST",NA
"1350","700","SPRUCE ST",NA
"1351","1200","FIFTH ST",NA
"1352","2900","HILLEGASS AVE",NA
"1353","600","EUCLID AVE",NA
"1354","2000","UNIVERSITY AVE",NA
"1355","2800","ADELINE ST",NA
"1356","2100","SEVENTH ST",NA
"1357","2300","CHANNING WAY",NA
"1358","2600","ALCATRAZ AVE",NA
"1359","1500","ALLSTON WAY",NA
"1360",NA,"BANCROFT WAY","WEST ST"
"1361","1600","WOOLSEY ST",NA
"1362","400","SPRUCE ST",NA
"1363","2300","FOURTH ST",NA
"1364","2600","COLLEGE AVE",NA
"1365","1800","WOOLSEY ST",NA
"1366","2200","SHATTUCK AVE",NA
"1367","1300","SAN PABLO AVE",NA
"1368","2450","DURANT AVE",NA
"1369","1800","CURTIS ST",NA
"1370","2300","COLLEGE AVE",NA
"1371","2400","ELLSWORTH ST",NA
"1372","1700","FOURTH ST",NA
"1373","1800","FOURTH ST",NA
"1374","2300","FOURTH ST",NA
"1375","2400","DURANT AVE",NA
"1376","2000","BLAKE ST",NA
"1377","1400","SUMMIT RD",NA
"1378","1300","HEARST AVE",NA
"1379","2300","FOURTH ST",NA
"1380","1200","SAN PABLO AVE",NA
"1381","1057","CORONEL AVE",NA
"1382","2200","SAN PABLO AVE",NA
"1383","2200","ACTON ST",NA
"1384","300","PANORAMIC WAY",NA
"1385","200","UNIVERSITY AVE",NA
"1386","2400","BANCROFT WAY",NA
"1387","200","MARINA BLVD",NA
"1388","1000","GILMAN ST",NA
"1389","600","BANCROFT WAY",NA
"1390","1800","HIGHLAND PL",NA
"1391","1845","BERKELEY WAY",NA
"1392","1100","GRIZZLY PEAK BLVD",NA
"1393","2000","DELAWARE ST",NA
"1394","2400","PIEDMONT AVE",NA
"1395",NA,"DELAWARE STREET","SAN PABLO AVE"
"1396","1700","DERBY ST",NA
"1397","3200","SACRAMENTO ST",NA
"1398","1700","FRANKLIN ST",NA
"1399","2700","HILLEGASS AVE",NA
"1400","1500","WARD ST",NA
"1401","2700","SHATTUCK AVE",NA
"1402","1000","ASHBY AVE",NA
"1403","2500","BENVENUE AVE",NA
"1404","2600","BENVENUE AVE",NA
"1405","1800","UNIVERSITY AVE",NA
"1406","100","SEAWALL DR",NA
"1407","1100","SUTTER ST",NA
"1408","2100","EIGHTH ST",NA
"1409","1200","ASHBY AVE",NA
"1410","2500","ASHBY AVE",NA
"1411",NA,"CALIFORNIA STREET","ROSE ST"
"1412",NA,"SEVENTH STREET","PARKER ST"
"1413","3300","KING ST",NA
"1414","2300","WEBSTER ST",NA
"1415","1600","DWIGHT WAY",NA
"1416","2000","CENTER ST",NA
"1417","200","TUNNEL RD",NA
"1418","2100","MILVIA ST",NA
"1419",NA,"SAN PABLO AVENUE","UNIVERSITY AVE"
"1420",NA,"MILVIA STREET","BANCROFT WAY"
"1421","37.8709962090001000,","-122.2507453070000000",NA
