"","date","day","time","type","block_number","street1","street2","lat","long","wday","severity","area"
"2589",2016-05-16,"Monday",14,"BURGLARY AUTO","2400","TENTH ST",NA,37.86249,-122.29124,"weekday","3","W"
"2590",2016-02-19,"Friday",17.1666666666667,"BURGLARY AUTO","1300","NINTH ST",NA,37.879708,-122.297995,"weekday","3","W"
"2591",2016-05-17,"Tuesday",11.1333333333333,"ASSAULT/BATTERY FEL.","2800","PARK ST",NA,37.855964,-122.283114,"weekday","5","S"
"2592",2016-04-21,"Thursday",14.5,"IDENTITY THEFT","1200","JOSEPHINE ST",NA,37.885167,-122.275498,"weekday","1","N"
"2593",2015-12-17,"Thursday",9,"DISTURBANCE","600","VINCENTE AVE",NA,37.896735,-122.284286,"weekday","1","N"
"2594",2016-04-23,"Saturday",15.1333333333333,"THEFT MISD. (UNDER $950)",NA,"TELEGRAPH AVENUE","BANCROFT WAY",37.868714,-122.259189,"weekend","2","E"
"2595",2016-04-02,"Saturday",12.25,"BURGLARY AUTO","2300","FOURTH ST",NA,37.862843,-122.298368,"weekend","3","W"
"2596",2016-05-06,"Friday",22.9,"ALCOHOL OFFENSE",NA,"CHANNING WAY","ROOSEVELT AVE",37.864722,-122.275721,"weekday","1","S"
"2597",2016-03-14,"Monday",3,"BURGLARY RESIDENTIAL","1500","GRANT ST",NA,37.879188,-122.276107,"weekday","4","N"
"2598",2016-02-23,"Tuesday",10,"VANDALISM","2200","DWIGHT WAY",NA,37.864238,-122.265263,"weekday","3","E"
"2599",2015-12-03,"Thursday",17,"BURGLARY AUTO","2600","MABEL ST",NA,37.859881,-122.285128,"weekday","3","W"
"2600",2016-02-04,"Thursday",22.3333333333333,"BURGLARY AUTO","1600","STUART ST",NA,37.857246,-122.277347,"weekday","3","S"
"2601",2016-05-15,"Sunday",15.2166666666667,"THEFT MISD. (UNDER $950)","1600","LINCOLN ST",NA,37.876084,-122.280105,"weekend","2","W"
